BINARY;BINARY_CLASS;END_DATA;MACHINE-TYPE;BINARY_FLAGS;ARCH_GUESSED;ELF-DATA;MD5SUM;
/logs/firmware/binwalk_extracted/_firmware.extracted/832E0;ELF32;2's complement, little endian;ARM;0x5000000,Version5EABI;;ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), statically linked, not stripped;31e3249b297e0c9cb9ceb5abdb989042;
/logs/firmware/unblob_extracted/firmware_extract/537312-690192.elf32_extract/carved.elf;ELF32;2's complement, little endian;ARM;0x5000000,Version5EABI;;ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), statically linked, not stripped;7762c43d640beaee5d2fe20a4daf66ef;
